text	n	freq
יש משהו	2	594
אני עדיין	2	593
מה לעשות	2	593
יהיה בסדר	2	588
סוף סוף	2	587
לדבר עם	2	586
לא רואה	2	585
לך תזדיין	2	585
הדבר הזה	2	584
לך על	2	579
אני רק רוצה	3	578
מה אתם	2	576
להגיד לך	2	575
אם הם	2	574
היא הייתה	2	574
ובכן אני	2	574
מה אנחנו	2	574
למצוא את	2	573
אני אהיה	2	567
מר ליבובסקי	2	564
נראה כמו	2	563
אני מדבר	2	562
פעם אחת	2	558
דבר לא	2	555
לך את זה	3	555
אבא שלך	2	554
אני חייבת	2	554
מה הם	2	553
אכפת לך	2	552
איפה הוא	2	550
יש פה	2	550
אבל הם	2	548
אלוהים אדירים	2	548
לאן אתה	2	547
עשיתי את	2	547
מה עשית	2	546
אני מבטיח	2	545
את התחת	2	545
זו לא	2	544
אני אעשה	2	541
אולי זה	2	540
גם את	2	540
לא כל	2	539
אלא אם	2	538
לך מה	2	538
אני שמח	2	533
לא הייתה	2	533
לא אוכל	2	530
אבל את	2	529
זאת לא	2	527
זה יותר	2	527
מה הבעיה	2	527
זה פשוט	2	526
לא מאמינה	2	525
את הפה	2	524
בדיוק כמו	2	524
אני הייתי	2	522
למה אתה מתכוון	3	522
חייב להיות	2	520
אנחנו לא יכולים	3	518
אמא שלי	2	517
הוא מת	2	517
יודע אני	2	514
אני הולכת	2	513
אני כאן	2	513
לא תודה	2	513
אוהבת אותך	2	512
אז זה	2	512
חושב שהוא	2	512
יודע שזה	2	512
אתן לך	2	511
יש לכם	2	508
אם היא	2	507
הייתי צריך	2	506
רוצה לעשות	2	505
כן הוא	2	504
אתה באמת	2	503
רק רגע	2	502
לי משהו	2	499
אבל אנחנו	2	497
אז הוא	2	497
אני רוצה את	3	497
את כולם	2	497
אתה מרגיש	2	496
איך אני	2	495
אין בעיה	2	495
אני שונא	2	494
חכה רגע	2	494
אולי הוא	2	493
המקום הזה	2	493
הוא עושה	2	492
אני כל	2	491
נעשה את	2	491
לשמור על	2	490
אני מנסה	2	489
את הראש	2	489
שאני יכול	2	489
אני אוהב את	3	488
יש לה	2	488
סוג של	2	487
אתה אוהב	2	484
כל מה שאני	3	484
לא את	2	484
תקשיב לי	2	483
אם אתה רוצה	3	482
משהו כזה	2	482
עשית את	2	482
זה נשמע	2	481
לא חושבת	2	481
את בסדר	2	480
זוכר את	2	480
אני לא מבין	3	478
לה את	2	477
לי מושג	2	477
לא אמרתי	2	476
לא הוא	2	475
איך הוא	2	474
את הולכת	2	474
זה באמת	2	473
הכל בסדר	2	472
כל יום	2	472
יודע איך	2	471
לספר לך	2	469
זה זה	2	467
זה כל כך	3	467
אם כן	2	464
זה כל מה	3	464
אחד מהם	2	463
יודע את זה	3	463
רוצה ללכת	2	463
אבל היא	2	462
איך את	2	462
אני מתכוונת	2	462
האנשים האלה	2	462
לא חשבתי	2	461
את חייבת	2	460
חשבתי על	2	460
כל היום	2	460
כל עוד	2	460
לשאול אותך	2	460
שום דבר לא	3	460
אבל מה	2	459
אני אקח	2	458
לא יכולתי	2	458
לומר לך	2	458
לחשוב על	2	458
לעזור לי	2	457
אז למה	2	455
אוי אלוהים	2	454
את יודעת מה	3	453
יכול לעזור	2	453
יש לך את	3	453
אני לא מאמינה	3	451
הוא רק	2	451
לא מה	2	451
יש כאן	2	450
כן אתה	2	450
תודה על	2	446
את הפצצה	2	445
יכול לעשות את	3	445
כן בטח	2	445
שזה היה	2	445
זה כבר	2	444
אני ממש	2	443
את הדבר	2	443
להם את	2	441
על פני	2	441
עשיתי את זה	3	440
מה שאת	2	437
מה שהוא	2	436
את המקום	2	435
לעשות משהו	2	435
יודע על	2	433
תנו לי	2	433
אל תעשה	2	431
לא התכוונתי	2	431
מיליון דולר	2	431
חוץ מזה	2	430
תראה את	2	430
את עצמו	2	429
אני יודע מה	3	426
לא בדיוק	2	426
אין לי מושג	3	425
הוא אומר	2	425
כי הוא	2	425
נראה לך	2	425
את נראית	2	424
אתה תהיה	2	424
עושה כאן	2	424
לא אכפת לי	3	421
של כל	2	419
בוא הנה	2	417
אני זוכר	2	416
נעשה את זה	3	416
עשה את	2	416
אני אגיד	2	415
רק כדי	2	415
אל תדאגי	2	414
אמא שלך	2	414
הזה הוא	2	414
יודע למה	2	414
יש שם	2	414
לשמוע את	2	414
את לא יכולה	3	413
לא אומר	2	413
אולי אני	2	412
אני נשבע	2	411
יודעים מה	2	411
כל הלילה	2	411
אתמול בלילה	2	410
יש לי את	3	410
להציל את	2	410
מה זאת	2	410
שאתה צריך	2	410
אבל אין	2	409
לא יודעים	2	409
זמן רב	2	408
יש את	2	408
מבין את	2	406
נראה טוב	2	406
את מי	2	405
מה שאנחנו	2	405
עכשיו אתה	2	405
שלי לא	2	405
אמור להיות	2	404
קורה פה	2	404
אנג לס	2	403
אני זקוק	2	403
צריך את	2	403
הזה לא	2	402
מוצא חן	2	402
מי אני	2	402
שיש לנו	2	402
אני כל כך	3	401
בכל אופן	2	401
לאן אתה הולך	3	401
לי יש	2	401
בדיוק מה	2	400
או אלוהים	2	399
אני מאמין	2	399
מה אתה אומר	3	399
איפה אתה	2	398
כי אתה	2	398
לא איכפת	2	398
לא טוב	2	398
רק רציתי	2	398
גם אם	2	397
מה שיש	2	397
כי זה	2	396
לא היתה	2	396
לא כל כך	3	396
עד כמה	2	396
אם כך	2	394
אנחנו יודעים	2	394
היית צריך	2	393
זה בטח	2	393
לאף אחד	2	393
שאתה יכול	2	393
אני אראה	2	392
ובכן זה	2	391
לעזוב את	2	391
הוא הולך	2	390
היא היתה	2	390
אני לא רואה	3	389
לא חשוב	2	389
קרה לך	2	389
האיש הזה	2	388
הוא יודע	2	388
היא אמרה	2	388
לא בטוח	2	388
מה זאת אומרת	3	388
על השטיח	2	388
טוב זה	2	387
מדבר על	2	387
לוקח את	2	386
מה אמרת	2	385
אתה חושב שאני	3	384
לתת לך	2	384
עבודה טובה	2	384
אתה זוכר	2	383
מאוחר יותר	2	383
זה הולך	2	382
אמרת לי	2	381
לא אמרת	2	381
יכולה לעשות	2	380
לא היו	2	380
מה עוד	2	380
יודע אם	2	379
למה הוא	2	379
תוריד את	2	379
את מתכוונת	2	378
בשביל מה	2	378
יודע שאתה	2	378
ממש לא	2	378
אגיד לך	2	377
הנה זה	2	377
אתה לא יודע	3	376
אנחנו רוצים	2	375
בדרך כלל	2	374
יש עוד	2	374
הוא נראה	2	373
מה לגבי	2	373
עשית את זה	3	373
לא אבל	2	372
לי עוד	2	372
מישהו אחר	2	372
שהוא היה	2	370
אותו דבר	2	369
זה לא משנה	3	369
מה שקורה	2	369
את האנשים	2	368
את הכדור	2	368
את הקלטת	2	368
ניו יורק	2	368
צריך לעשות	2	367
אתה עושה פה	3	366
אני יודע שזה	3	365
מה שקרה	2	365
אנחנו עושים	2	364
אתה לא רוצה	3	364
בלתי אפשרי	2	364
יכול לראות	2	364
למען האמת	2	364
הם רוצים	2	363
זה מה שאני	3	363
לא עובד	2	363
עוד פעם	2	363
אולי לא	2	361
אני אלך	2	361
זה יכול להיות	3	361
זה נגמר	2	361
זה אבל	2	360
את החיים	2	359
בבקשה אל	2	359
את כל זה	3	358
לתת לי	2	358
את האקדח	2	356
לא זה לא	3	356
לעזאזל אתה	2	356
שאני צריך	2	356
אולי כדאי	2	355
יודע מי	2	355
שיש לו	2	355
רעיון טוב	2	354
אני מרגישה	2	353
לעזאזל עם	2	353
אותו הדבר	2	352
ברגע זה	2	352
הולך להיות	2	352
יכולים לעשות	2	352
אתה מכיר את	3	351
זו היתה	2	351
חשבתי שזה	2	351
לארוחת ערב	2	351
להתמודד עם	2	351
אז את	2	350
זה על	2	350
טוב מאוד	2	350
מי הוא	2	350
רוצה לשמוע	2	350
דבר כזה	2	349
חושבת שזה	2	349
מה היא	2	349
אוהב את זה	3	348
הולך לעשות	2	348
זה נהדר	2	348
לא רע	2	348
לא מבינה	2	347
לא מספיק	2	347
תחשוב על	2	347
תסתכל על	2	347
קח את זה	3	346
רוצה שאני	2	346
אני חושב שזה	3	345
אתה שומע	2	345
עם מי	2	345
את הדברים	2	343
אתה יודע את	3	343
מה קרה לך	3	343
גם לא	2	342
הוא עשה	2	342
לא נראה לי	3	342
לא תהיה	2	342
אני מוכן	2	341
אני מניחה	2	341
חושב שיש	2	341
כמה זה	2	341
על משהו	2	341
בכל זאת	2	340
זה עכשיו	2	340
איך אתה יודע	3	339
אם אתה לא	3	339
את הידיים	2	339
ברוכים הבאים	2	339
היי מה	2	339
לא מכיר	2	338
אני אני	2	337
זה קרה	2	337
חושבת שאני	2	337
לראות את זה	3	337
ספר לי	2	337
היי היי	2	336
לא יכול לעשות	3	336
שלך לא	2	336
אני אוהבת אותך	3	335
שאתה עושה	2	335
יכולה להיות	2	334
לך שאני	2	334
מאוחר מדי	2	334
אני אומר לך	3	333
זה מספיק	2	332
אתם רוצים	2	331
לכל הרוחות	2	331
מצטער על	2	331
ערב טוב	2	331
אלא אם כן	3	330
אעשה את	2	330
לשום מקום	2	330
עכשיו זה	2	328
צריך ללכת	2	328
הכי טובה	2	327
זה את	2	327
האם אני	2	326
משהו אחר	2	326
שהם לא	2	326
את חיי	2	325
אוי לא	2	324
היה צריך	2	324
איכפת לי	2	323
את המכונית	2	323
אולי אתה	2	322
אל תזוז	2	322
זה שוב	2	322
זה שם	2	322
מה קורה פה	3	322
עושים את	2	322
אבל עכשיו	2	321
אז איך	2	321
אתה חושב שאתה	3	321
לא צריכה	2	321
שזה יהיה	2	321
אל תגיד	2	320
אתה עדיין	2	320
הטוב ביותר	2	320
לדעת מה	2	320
מדברים על	2	320
אתם עושים	2	319
ואני רוצה	2	319
משנה מה	2	319
אני אוהבת את	3	318
אני מת	2	318
אני עובד	2	318
לי אני	2	318
רוצה להגיד	2	318
שאף אחד	2	317
יש רק	2	316
האמת היא	2	315
אני מבקש	2	314
הוא יהיה	2	314
מה זה היה	3	314
לא זוכר	2	313
צר לי	2	313
תודה לאל	2	313
את השם	2	312
בשביל זה	2	312
החיים שלי	2	312
כך טוב	2	312
כל מי	2	312
למה זה	2	311
אני לא הולך	3	310
את הבית	2	310
קצת יותר	2	310
אל תהיה	2	309
יודע שאני	2	309
לא באמת	2	307
להרוג את	2	307
אני חושב שאני	3	306
הוא לא היה	3	306
מה היה	2	306
שאני עושה	2	306
גם אתה	2	305
היה לך	2	305
יודע איפה	2	305
בסדר בסדר	2	304
יודעת את	2	304
לי טובה	2	304
את מבינה	2	303
זה בדיוק	2	303
טוב לראות	2	303
לי לא	2	303
רק בגלל	2	303
האם יש	2	302
כמו שצריך	2	302
אני לא חושבת	3	301
אני תמיד	2	301
בכל פעם	2	301
חג המולד	2	301
זו הייתה	2	300
כן יש	2	300
מה שהם	2	300
או קיי	2	299
איפה היא	2	298
אני מבינה	2	298
את בטוחה	2	298
את הדרך	2	298
היה לו	2	298
כל כך טוב	3	298
מה יש לך	3	298
ראיתי אותך	2	298
שאנחנו צריכים	2	298
שמור על	2	298
אני לא אוהב	3	297
את התיק	2	297
הם יכולים	2	297
חייב ללכת	2	297
חף מפשע	2	297
לא יותר	2	297
לי רעיון	2	297
אעשה את זה	3	296
בוא נראה	2	296
או שאני	2	295
אני גם	2	295
את הילד	2	295
זה לעזאזל	2	295
כמה ימים	2	295
קודם כל	2	295
של מי	2	295
אבל הוא לא	3	294
אני בטוחה	2	294
אתה צוחק	2	294
הוא צריך	2	294
הרבה דברים	2	294
רק את	2	294
זה בגלל	2	293
לא עשיתי	2	293
לא שמעתי	2	293
אנחנו רק	2	292
אתה מנסה	2	292
אתם יכולים	2	292
לא שם	2	292
אם אתם	2	290
אמר שהוא	2	290
יכול לקבל	2	290
ראיתי אותו	2	290
לי לראות	2	289
את העולם	2	288
בואי נלך	2	288
לך אם	2	288
מה נעשה	2	288
דרך אגב	2	287
הוא כבר	2	287
הוא לא יכול	3	287
אני אגיד לך	3	286
אני לא צריך	3	286
את מדברת	2	286
הדבר היחיד	2	286
זה הדבר	2	286
יודע זה	2	286
לא יכול להיות	3	286
את הנשק	2	285
אתה לא חושב	3	285
מה נשמע	2	285
שאני אומר	2	285
תסלח לי	2	285
איש לא	2	284
אתה יודע אני	3	284
הוא חושב	2	284
את המשחק	2	283
תגיד לו	2	283
בחיים לא	2	282
הוא עדיין	2	282
זה לא מה	3	282
יכול לדבר	2	282
אני אהרוג	2	281
אני עומד	2	281
הנה הוא	2	281
זה הזמן	2	281
לא כאן	2	281
לא עושה	2	281
לי רק	2	281
אני כן	2	279
כמה אתה	2	279
מה זה אומר	3	279
מה לא	2	279
עשה את זה	3	279
בואו נלך	2	278
לבדוק את	2	278
לפגוש אותך	2	278
תגידי לי	2	278
אני חוזר	2	277
אקח את	2	277
אראה אותך	2	277
דעתך על	2	277
הייתי צריכה	2	277
מה שאני רוצה	3	277
משהו על	2	277
זה כן	2	276
לא משנה מה	3	276
לא נוכל	2	276
להבין את	2	276
שאני יודע	2	276
אני יודע שאתה	3	275
היה לנו	2	275
נתן לי	2	275
רואה מה	2	275
מה דעתך על	3	274
תראו את	2	274
אה כן	2	273
זה קורה	2	273
מה הולך	2	273
איך קוראים	2	272
אני מכיר את	3	272
בפעם הבאה	2	272
יכול להגיד	2	272
להגיד לי	2	272
לי זמן	2	272
מה שאתה רוצה	3	272
מה שמך	2	272
נראה כאילו	2	272
אני לא בטוח	3	271
את היד	2	271
הבן שלי	2	271
זה דבר	2	271
אין לו	2	270
אני רוצה לדעת	3	270
זה בא	2	270
לא אנחנו	2	270
מה הוא עושה	3	270
עם מישהו	2	270
קוראים לי	2	270
שאת לא	2	270
אני אפילו	2	269
חושב על	2	269
לי הרבה	2	269
שונא את	2	269
בקשר לזה	2	268
הוד מעלתך	2	268
כמו כל	2	268
של דבר	2	268
שלי היא	2	268
כל פעם	2	267
לשנות את	2	267
את הזמן	2	266
זה משהו	2	266
חשבתי שאתה	2	266
יכול לקחת	2	266
להגן על	2	265
לך כל	2	265
משהו שאני	2	265
שיהיה לך	2	265
אז אם	2	264
איפה היית	2	264
אם אנחנו	2	264
בסך הכל	2	264
ואתה יודע	2	264
של אבא	2	264
אתה בטח	2	263
זה חשוב	2	263
יהיה לך	2	263
יותר מידי	2	263
כן אני יודע	3	263
לי שאתה	2	263
לראות אותו	2	263
הו אלוהים	2	262
הלא נכון	2	262
לא איכפת לי	3	262
לא רציתי	2	262
להוציא את	2	262
לפעמים אני	2	262
הייתי אומר	2	261
זה כאילו	2	261
לדבר אתך	2	261
לכם את	2	261
אבל אתה לא	3	260
אם הייתי	2	260
את הספר	2	260
החרא הזה	2	260
מה כל	2	260
נו באמת	2	260
נמאס לי	2	260
ארוחת ערב	2	259
מצאתי את	2	259
שהיא לא	2	259
שלי הוא	2	259
את הבחור	2	258
יודע כמה	2	258
לא היה לי	3	258
לי קצת	2	258
למה אנחנו	2	258
קי טריהורן	2	258
שלך אני	2	258
טוב אז	2	257
להרוג אותי	2	257
אוהב אותה	2	256
אם מישהו	2	256
את הכל	2	256
למה הם	2	256
צריכה ללכת	2	256
איך הם	2	255
כמה דברים	2	255
לא יודע אם	3	255
לא צריכים	2	255
לתת לו	2	255
סיפר לי	2	255
עוד משהו	2	255
אני חושש	2	254
אני פה	2	254
הוא אוהב	2	254
לי שאני	2	254
לי שום	2	254
רואה את זה	3	254
של מישהו	2	254
אבל אז	2	253
אותך שוב	2	253
להביא את	2	253
לך מושג	2	253
מה שאמרתי	2	253
אני חשבתי	2	252
את זה עכשיו	3	252
זה גם	2	252
יודעת אני	2	252
יכול לומר	2	252
את העיניים	2	251
היו לי	2	251
זה בשבילך	2	251
לא עוד	2	251
לספר לי	2	251
תן לו	2	251
אין צורך	2	250
אסור לך	2	250
בואי הנה	2	250
בפעם הראשונה	2	250
וזה לא	2	250
זה מאוד	2	250
לא תוכל	2	250
אני שם	2	249
דברים כאלה	2	249
ועוד איך	2	249
יופי של	2	249
להיות פה	2	249
מבטיח לך	2	249
מי יודע	2	249
עוד אחד	2	249
על מנת	2	249
קיבלתי את	2	249
אתה רואה את	3	248
חשבתי על זה	3	248
נשמע כמו	2	248
קדימה קדימה	2	248
רבה לך	2	248
אם היית	2	247
אני רוצה להיות	3	247
או מה	2	246
איפה הכסף	2	246
אני מחפש	2	246
את זה אני	3	246
גם לי	2	246
זה מה שקורה	3	246
יש לי רעיון	3	246
לך מזל	2	246
מה לעזאזל אתה	3	246
אין סיכוי	2	245
אני רוצה לראות	3	245
התחת שלך	2	245
לי כמה	2	245
מה אתם עושים	3	245
תודה רבה לך	3	245
אני אחזור	2	244
בני אדם	2	244
הילד הזה	2	244
לא עכשיו	2	244
על הראש	2	244
צריך לדבר	2	244
אומר שהוא	2	243
אראה לך	2	243
הדבר הכי	2	243
הוא בטח	2	243
טוב לראות אותך	3	243
לתקן את	2	243
אותך על	2	242
אז אל	2	242
החבר שלך	2	242
אז אנחנו	2	241
את אומרת	2	241
את החדר	2	241
את כל מה	3	241
אתה כל	2	241
אתה עושה כאן	3	241
עושים את זה	3	241
את אוהבת	2	240
אתה שם	2	240
לך עוד	2	240
מקבל את	2	240
נער המים	2	240
אהרוג אותך	2	239
אתה לא מבין	3	239
היי אני	2	239
יודע מה זה	3	239
יש הרבה	2	239
להשיג את	2	239
מה זה לעזאזל	3	239
הוא הלך	2	238
ניקח את	2	238
שאנחנו לא	2	238
שומע אותי	2	238
אני אמצא	2	237
אני אפילו לא	3	237
את המספר	2	237
כל מה שיש	3	237
לא יוכל	2	237
להוריד את	2	237
מה יקרה	2	237
אמרו לי	2	236
אני פשוט לא	3	236
הבית שלך	2	236
הם אמרו	2	236
מה אמרתי	2	236
נדמה לי	2	236
נכון מאוד	2	236
אני רוצה לדבר	3	235
את המצב	2	235
אתה לא צריך	3	235
זה נורא	2	235
לא אוהבת	2	235
לא בא	2	235
לא כדאי	2	235
לא מסוגל	2	235
מבין מה	2	235
עוד כמה	2	235
קיבלת את	2	235
איך אתה מרגיש	3	234
הגדול ביותר	2	234
אני מעדיף	2	233
אתה כבר	2	233
כמה אנשים	2	233
מה שלום	2	233
שתיים שלוש	2	233
אני מציע	2	232
אפשר לעזור	2	232
הייתה לי	2	232
יותר מהר	2	232
רק על	2	232
שלי אני	2	232
אנחנו מדברים	2	231
את עצמה	2	231
אתה רק	2	231
בגלל שאני	2	231
הדברים האלה	2	231
היה יכול	2	231
לא מוכן	2	231
לך אני	2	231
את הכוח	2	230
גם כן	2	230
ואתה לא	2	230
יום הולדת	2	230
יכולים להיות	2	230
לא מרגיש	2	230
לשים את	2	230
רוצה לראות את	3	230
לא אדוני	2	229
לא רוצים	2	229
לדבר על זה	3	229
משהו לא	2	229
אתה קורא	2	228
האם הוא	2	228
זה קצת	2	228
כל חיי	2	228
לא היא	2	228
לא היינו	2	228
לא רוצה להיות	3	228
לנו זמן	2	228
לקחת אותי	2	228
שאני רואה	2	228
אומר את	2	227
אמרה לי	2	227
בעיה עם	2	227
ברוך הבא	2	227
הפעם הראשונה	2	227
חן בעיניי	2	227
כל הדרך	2	227
עניין של	2	227
צריכה להיות	2	227
שם למעלה	2	227
אני אתן	2	226
אני תוהה	2	226
את מוכנה	2	226
אתה ואני	2	226
אתה ממש	2	226
הוא שם	2	226
הם עושים	2	226
לא קרה	2	226
לי אם	2	226
מה בדיוק	2	226
מת על	2	226
עכשיו אנחנו	2	226
קשר עם	2	226
שים את	2	226
זה לא נכון	3	225
לא על	2	225
עוד קצת	2	225
צריכים לעשות	2	225
קוראים לו	2	225
איבדנו את	2	224
אני מקבל	2	224
גם אני לא	3	224
כל החיים	2	224
לי שהוא	2	224
למצוא אותו	2	224
מכיר אותך	2	224
תהיה בסדר	2	224
אהבתי את	2	223
בפעם האחרונה	2	223
לא יודעת מה	3	223
לסיים את	2	223
מה הוא אמר	3	223
שאת רוצה	2	223
שמעולם לא	2	223
את אמא	2	222
הבעיה שלך	2	222
השטיח שלי	2	222
טוב בסדר	2	222
לא חייב	2	222
לכל אחד	2	222
מעניין אותי	2	222
על מה את	3	222
תראה לי	2	222
תראה מה	2	222
אמר לך	2	221
אתה עובד	2	221
אתה פשוט	2	221
היה כל	2	221
היינו צריכים	2	221
זה משנה	2	221
כמו מה	2	221
כמו שאתה	2	221
לא אתה לא	3	221
לא ראיתי את	3	221
